Question,Ground Truth,Agent Answer
The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,Delhi
Musician and satirist Allie Goertz wrote a song about the "The Simpsons" character Milhouse  who Matt Groening named after who?,,Richard Nixon
 What nationality was James Henry Miller's wife?,American,I don't know
Cadmium Chloride is slightly soluble in this chemical  it is also called what?,,Ethanol
Which genus of moth in the world's seventh-largest country contains only one species?,Crambidae,Nepita
Who was once considered the best kick boxer in the world  however he has been involved in a number of controversies relating to his "unsportsmanlike conducts" in the sport and crimes of violence outside of the ring.,,Badr Hari
The Dutch-Belgian television series that "House of Anubis" was based on first aired in what year?,2006,2006
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long,6.213 km
Fast Cars  Danger  Fire and Knives includes guest appearances from which hip hop record executive?,,El-P
Gunmen from Laredo starred which narrator of "Frontier"?,Walter Darwin Coy,I don't know
Where did the form of music played by Die Rhöner Säuwäntzt originate?,United States,United States
In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII,Super Bowl XLVIII
What U.S Highway gives access to Zilpo Road  and is also known as Midland Trail?,,U.S. Highway 60
The 1988 American comedy film  The Great Outdoors  starred a four-time Academy Award nominee  who received a star on the Hollywood Walk of Fame in what year?,,2006
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,Hetfield and Ulrich  longtime lead guitarist Kirk Hammett  and bassist Robert Trujillo.,James Hetfield  Lars Ulrich  Kirk Hammett  Robert Trujillo
Human Error" is the season finale of the third season of a tv show that aired on what network?,Fox,Fox network
Dua Lipa  an English singer  songwriter and model  the album spawned the number-one single "New Rules" is a song by English singer Dua Lipa from her eponymous debut studio album  released in what year?,,2017
American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto  a woman who previously served as the 32nd Attorney General of where?,,Nevada
Which state does the drug stores  of which the CEO is Warren Bryant  are located?,,Hawaii
Which  American politician did Donahue replaced ,Kelli Ward,Kelli Ward
How old is the female main protagonist of Catching Fire?,16-year-old,I don't know
Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,World War II,World War II
Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,Todd Phillips,Todd Phillips
New Faces of 1952 is a musical revue with songs and comedy skits  it helped jump start the career of which young performer  and American actress?,,Eartha Kitt
Which actress played the part of fictitious character Kimberly Ann Hart  in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?,,Amy Jo Johnson
Where is the company that purchased Aixam based in?,Roseau  Minnesota  USA,Roseau  Minnesota  USA
Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,Nassau County,Nassau County
The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales  Australia  especially links between the New South Wales Police and Mafia  The Honoured Society  is a Calabrian 'Ndrangheta criminal confederation  started in Melbourne and currently active in all of which country?  ,,Australia
The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base  a former United States Air Force base located in the North Highlands area of Sacramento County  in which US state?,,California
The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,Dessau,Dessau
Which faith is designated to the University of Providence  private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ,,Roman Catholic
Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,The Joshua Tree,The Chimes
Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County,Ulster County
What American country music singer-songwriter  born in May of 1942  sang a duet with her ex-husband the same year that he released the song "The Battle?",,Tammy Wynette
Who was born first  Francis Nethersole or Elizabeth Stuart?,,Francis Nethersole
What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,ingredients in beer,Ingredients in beer
Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI)  which other member that's Welsh  that died on 10 April 2016?,,Howard Marks
What male actor starred in The Messenger?,Robert Sheehan,Robert Sheehan
In what year was the creator of the current arrangement of the "Simpson's Theme" born?,March 28  1941,1941
The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track,standard gauge track
In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,Sex and the City
Lee Jun-fan played what character in "The Green Hornet" television series?,Kato,Kato
The 1895/96 Football League season was the eighth in Football League history with Everton  their Goodison Park home  is a football stadium located in Walton  Liverpool  in which country?,,England
A Head Full of Dreams Tour is the seventh tour by Coldplay  and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?,,Province of Buenos Aires
Roger Avary (born August 23  1965) is a Canadian film and television producer  screenwriter and director in the American mass media industry  he wrote the screenplay for Beowulf  a 2007 British-American 3D motion capture epic fantasy film  directed by who?,,Robert Zemeckis
The American Pre-Code comedy film featuring an American actress  dancer  and singer  widely known for performing in films and RKO's musical films  was released in what year?,,1932
An edited version of "Just the Two of Us" reached number two on the "Billboard" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the "Billboard" hot 100?,nine,nine weeks
"Funnybot" is the second episode of the fifteenth season of which American animated television series  created by Trey Parker and Matt Stone?  ,,South Park
What American stage  film  and television actor  who also appeared in a large number of musicals  played Samson in the 1949 film "Samson and Delilah".,,Victor Mature
Iqaluit Airport and Canadian North are based out of what country?,Canada,Canada
