Question,Ground Truth,Agent Answer
Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,Arthur's Magazine.
The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,Delhi.
Musician and satirist Allie Goertz wrote a song about the "The Simpsons" character Milhouse  who Matt Groening named after who?,,Richard Nixon
 What nationality was James Henry Miller's wife?,American,English
Cadmium Chloride is slightly soluble in this chemical  it is also called what?,,Alcohol.
Which tennis player won more Grand Slam titles  Henri Leconte or Jonathan Stark?,,I don't know
Which genus of moth in the world's seventh-largest country contains only one species?,Crambidae,Nepita
Who was once considered the best kick boxer in the world  however he has been involved in a number of controversies relating to his "unsportsmanlike conducts" in the sport and crimes of violence outside of the ring.,,Badr Hari.
The Dutch-Belgian television series that "House of Anubis" was based on first aired in what year?,2006,2006
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long,6.213 km
Fast Cars  Danger  Fire and Knives includes guest appearances from which hip hop record executive?,,El-P
Gunmen from Laredo starred which narrator of "Frontier"?,Walter Darwin Coy,INVALID
Where did the form of music played by Die Rhöner Säuwäntzt originate?,United States,I don't know.
In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII,Super Bowl XLVIII.
What U.S Highway gives access to Zilpo Road  and is also known as Midland Trail?,,U.S. Route 60.
The 1988 American comedy film  The Great Outdoors  starred a four-time Academy Award nominee  who received a star on the Hollywood Walk of Fame in what year?,,2006
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,Hetfield and Ulrich  longtime lead guitarist Kirk Hammett  and bassist Robert Trujillo.,I don't know.
Human Error" is the season finale of the third season of a tv show that aired on what network?,Fox,FOX
Dua Lipa  an English singer  songwriter and model  the album spawned the number-one single "New Rules" is a song by English singer Dua Lipa from her eponymous debut studio album  released in what year?,,2017
American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto  a woman who previously served as the 32nd Attorney General of where?,,Nevada
