Question,Ground Truth,normalized_question,kimi_baseline,kimi_embedded_1,kimi_embedded_2,kimi_embedded_3
The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,Delhi,Delhi,Delhi
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse  who Matt Groening named after who?",,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse who Matt Groening named after who?",President Richard Nixon,Richard Nixon,Richard Nixon,President Richard Nixon
 What nationality was James Henry Miller's wife?,American,What nationality was James Henry Miller's wife?,I don't know,I don't know,I don't know,I don't know
Cadmium Chloride is slightly soluble in this chemical  it is also called what?,,Cadmium Chloride is slightly soluble in this chemical it is also called what?,Ethanol,ethanol,Ethanol,ethanol
Which genus of moth in the world's seventh-largest country contains only one species?,Crambidae,Which genus of moth in the world's seventh-largest country contains only one species?,Nepita,Nepita,Nepita,Nepita
"Who was once considered the best kick boxer in the world  however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",,"Who was once considered the best kick boxer in the world however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",Badr Hari,Badr Hari,Badr Hari,Badr Hari
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",2006,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",2006,2006,2006,2006
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km,6.213 km,6.213 km,6.213 km
Fast Cars  Danger  Fire and Knives includes guest appearances from which hip hop record executive?,,Fast Cars Danger Fire and Knives includes guest appearances from which hip hop record executive?,El-P,El-P,El-P,El-P
"Gunmen from Laredo starred which narrator of ""Frontier""?",Walter Darwin Coy,"Gunmen from Laredo starred which narrator of ""Frontier""?",I don't know,I don't know,I don't know,I don't know
Where did the form of music played by Die Rhöner Säuwäntzt originate?,United States,Where did the form of music played by Die Rhöner Säuwäntzt originate?,United States,United States,United States,United States
In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII,In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII,Super Bowl XLVIII,Super Bowl XLVIII,Super Bowl XLVIII
What U.S Highway gives access to Zilpo Road  and is also known as Midland Trail?,,What U.S Highway gives access to Zilpo Road and is also known as Midland Trail?,U.S. Highway 60,U.S. Highway 60,U.S. Highway 60,U.S. Highway 60
The 1988 American comedy film  The Great Outdoors  starred a four-time Academy Award nominee  who received a star on the Hollywood Walk of Fame in what year?,,The 1988 American comedy film The Great Outdoors starred a four-time Academy Award nominee who received a star on the Hollywood Walk of Fame in what year?,2006,I don't know,2006,I don't know
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,Hetfield and Ulrich  longtime lead guitarist Kirk Hammett  and bassist Robert Trujillo.,What are the names of the current members of American heavy metal band who wrote the music for Hurt Locker The Musical?,James Hetfield  Lars Ulrich  Kirk Hammett  Robert Trujillo,James Hetfield  Lars Ulrich  Kirk Hammett  Robert Trujillo,James Hetfield  Lars Ulrich  Kirk Hammett  Robert Trujillo,James Hetfield  Lars Ulrich  Kirk Hammett  Robert Trujillo
"Human Error"" is the season finale of the third season of a tv show that aired on what network?",Fox,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",Fox,Fox,Fox network,Fox
"Dua Lipa  an English singer  songwriter and model  the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album  released in what year?",,"Dua Lipa an English singer songwriter and model the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album released in what year?",2017,2017,2017,2017
American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto  a woman who previously served as the 32nd Attorney General of where?,,American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto a woman who previously served as the 32nd Attorney General of where?,Nevada,Nevada,Nevada,Nevada
Which state does the drug stores  of which the CEO is Warren Bryant  are located?,,Which state does the drug stores of which the CEO is Warren Bryant are located?,Hawaii,Hawaii,Hawaii,Hawaii
Which  American politician did Donahue replaced ,Kelli Ward,Which American politician did Donahue replaced,Kelli Ward,Kelli Ward,Kelli Ward,Kelli Ward
How old is the female main protagonist of Catching Fire?,16-year-old,How old is the female main protagonist of Catching Fire?,I don't know,I don't know,I don't know,I don't know
Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,World War II,Chang Ucchin was born in korea during a time that ended with the conclusion of what?,World War II,World War II,World War II,World War II
Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,Todd Phillips,Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,Todd Phillips,Todd Phillips,Todd Phillips,Todd Phillips
New Faces of 1952 is a musical revue with songs and comedy skits  it helped jump start the career of which young performer  and American actress?,,New Faces of 1952 is a musical revue with songs and comedy skits it helped jump start the career of which young performer and American actress?,Eartha Kitt,Eartha Kitt,Eartha Kitt,Eartha Kitt
Which actress played the part of fictitious character Kimberly Ann Hart  in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?,,Which actress played the part of fictitious character Kimberly Ann Hart in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?,Amy Jo Johnson,Amy Jo Johnson,Amy Jo Johnson,Amy Jo Johnson
Where is the company that purchased Aixam based in?,Roseau  Minnesota  USA,Where is the company that purchased Aixam based in?,Roseau  Minnesota  USA,Roseau  Minnesota  USA,Roseau  Minnesota  USA,Roseau  Minnesota  USA
Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,Nassau County,Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,Nassau County,Nassau County,Nassau County,Nassau County
The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales  Australia  especially links between the New South Wales Police and Mafia  The Honoured Society  is a Calabrian 'Ndrangheta criminal confederation  started in Melbourne and currently active in all of which country?  ,,The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales Australia especially links between the New South Wales Police and Mafia The Honoured Society is a Calabrian 'Ndrangheta criminal confederation started in Melbourne and currently active in all of which country?,Australia,Australia,Australia,Australia
The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base  a former United States Air Force base located in the North Highlands area of Sacramento County  in which US state?,,The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base a former United States Air Force base located in the North Highlands area of Sacramento County in which US state?,California,California,California,California
